normal,simple
"To bring attention to the restaurant , Delgadillo sliced the roof off of a 1936 Chevrolet hardtop , adorned the automobile with paint , horns and various automotive emblems and even an artificial Christmas tree in the rear of the car .","Delgadillo thought of a fun way to bring attention to his new restaurant . He cut the roof off of a 1936 Chevrolet , put paint , horns and emblems from other cars all over it and placed an artificial Christmas tree in the rear of the car ."
"Delgadillo 's flair for showmanship extended to his menu , which still features such choices as a `` cheeseburger with cheese '' and `` dead chicken . ''",That menu still has such choices as a `` cheeseburger with cheese '' and `` dead chicken . ''
"Land development and water use have transformed the state , primarily through drainage and infill of the wetlands that once covered most of the peninsula .","Land development and water use have changed the state , mostly by draining the wetlands that once covered most of the peninsula ."
The ancient falaj system of irrigation is still in use in some areas ; this system distributes underground water by a network of tunnels which emerge eventually into open channels whose flow can be directed and regulated .,The ancient falaj system of irrigation is still in use in some areas . The system brings underground water to people by a network of tunnels that come out into open channels .
"A frame process can create multiple tab processes , each of which can be of a different integrity level ; each tab process can host multiple web sites .","A frame process can create multiple tab processes , each of which can be of a different integrity level ; each tab process can host multiple web sites ."
The Windows help and support system will also not function due to the heavy reliance on HTML help files and components of IE .,The Windows help and support system will also not function due to the heavy reliance on HTML help files and components of IE .
"Other new features included a new version of the Internet Explorer Administration Kit ( IEAK ) , Media bar , Windows Messenger integration , fault collection , automatic image resizing , P3P , and a new look-and-feel that was in line with the Luna visual style of Windows XP , when used in Windows XP .","Other new features included a new version of the Internet Explorer Administration Kit ( IEAK ) , Media bar , Windows Messenger integration , fault collection , automatic image resizing , P3P , and a new look-and-feel that was in line with the Luna visual style of Windows XP , when used in Windows XP ."
"The Konkan is notable for various Christian castes , owing their origin to Portuguese rule ; while in the Carnatic , Lingayatism , a Hindu reformation movement of the 12th century , was embraced by 45 % of the population .","The Konkan had various Christian castes , because of the rule of the Portuguese ."
"The name Tachyglossus means `` quick tongue '' , in reference to the speed with which the Echidna uses its tongue to catch ants and termites , and aculeatus means `` spiny '' or `` equipped with spines '' .",This is about the speed with which the echidna uses its tongue to catch ants and termites . The word aculeatus means `` spiny '' or `` equipped with spines '' .
"The nostrils and the mouth are at the distal end of the snout ; the mouth of the Short-beaked Echidna can not open wider than 5 m. The body of the Short-beaked Echidna is , with the exception of the underside , face and legs , covered with cream-coloured spines .","The mouth of the Short-beaked Echidna can not open wider than 5 mm . The body of the Short-beaked Echidna is , except for the underside , face and legs , covered with cream-coloured spines ."
"The tongue of the Short-beaked Echidna is the animal 's sole means of catching prey , and can protrude up to 180 m outside the snout .",The tongue of the Short-beaked Echidna is the animal 's only way of catching prey . It can stick out up to 180 mm outside the snout .
"The embryo develops an `` egg tooth '' during incubation , which it uses to tear open the egg ; the tooth disappears soon after hatching .","The embryo develops an `` egg tooth '' during incubation , which it uses to tear open the egg ; the tooth disappears soon after hatching ."
"By contraction of various parts of the panniculus carnosus , the Short-beaked Echidna can change shape , the most characteristic shape change being achieved by rolling itself into a ball when threatened , so protecting its belly and presenting a defensive array of sharp spines .","By contraction of various parts of this muscle the Short-beaked Echidna can change shape . The most common shape change is achieved by rolling itself into a ball when threatened , protecting its belly and presenting a defensive array of sharp spines ."
"When the tongue is retracted , the prey is caught on backward-facing keratinous `` teeth '' , located along the roof of the buccal cavity , allowing the animal both to capture and grind food .","When the tongue is retracted , the prey is caught on backward-facing keratinous `` teeth '' , located along the roof of the buccal cavity . This allows the animal to both capture and grind food ."
